# Generated by refresh-data.py on 2026-07-06. Do not edit by hand
# (hand corrections belong in institutional-overrides.json).
# domain,type where type is government|education|healthcare|utility.
# Sources: Wikidata P856 (CC0), Annuaire de l'administration (Licence
# Ouverte v2), GSA/govt-urls (US public domain).
abellaconca.ddl.net,government
abelova.sk,government
abenberg.de,government
abengibre.es,government
abensberg.de,government
abentheuer.de,government
abercorn.ca,government
aberdeen-md.org,government
aberdeen.sd.us,government
aberdeenidaho.us,government
aberdeenms.us,government
aberdeennj.org,government
aberdeenwa.gov,government
abergement-de-varey.fr,government
abergement-sainte-colombe.fr,government
abernethysaskatchewan.com,government
abertamy.eu,government
abezames.sedelectronica.es,government
abfaltersbach.at,government
abiadelaobispalia.com,government
abiadelastorres.dip-palencia.es,government
abiadelastorres.es,government
abidos.fr,government
abiego.es,government
abilenecityhall.com,government
abilenetx.com,government
abilly37.fr,government
abingdon-va.gov,government
abington.org,government
abingtonhealth.org,healthcare
abingtonma.gov,government
abinskcity.ru,government
abiodunfalade.com,healthcare
abizanda.es,government
abjat-sur-bandiat.fr,government
abla.es,government
ablain-st-nazaire.com,government
ablain-st-nazaire.fr,government
ablaincourtpressoir.fr,government
ablainzevelle.perso.sfr.fr,government
ablancourt.fr,government
ablanque.org,government
ableiges.fr,government
ablis.fr,government
ablitas.com,government
ablon-sur-seine.fr,government
ablon.fr,government
abmceducation.org,government
abod.hu,government
abolreesh-cusph.com,healthcare
aboncourt.mairie54.fr,government
abondant-village.com,government
abony.hu,government
abos64.fr,government
abraham.sk,government
abrahamhegy.hu,government
abrahamovce-bj.sk,government
abrahamovce.sk,government
abram.ro,government
abramova.sk,government
abramow.lubelskie.pl,government
abranovce.sk,government
abrazohealth.com,healthcare
abrecampo.mg.gov.br,government
abrego-nortedesantander.gov.co,government
abreschviller.fr,government
abrest.fr,government
abreuelima.pe.gov.br,government
abreulandia.to.gov.br,government
abriaqui-antioquia.gov.co,government
abries-ristolas.fr,government
abromiskes.lt,healthcare
abrucena.es,government
absam.at,government
absberg.de,government
abscon.fr,government
absdorf.gv.at,government
abseconnj.gov,government
absie.fr,government
abstatt.de,government
absuthng.org,healthcare
abtenau.at,government
abtsgmuend.de,government
abtsteinach.de,government
abtswind.de,government
abtweiler.de,government
abudis.ps,government
abuhb.nhs.wales,healthcare
aburzyan.tmweb.ru,government
abuth.gov.ng,healthcare
abuyogleyte.gov.ph,government
abymes.fr,government
abzac-16.fr,government
abzac-gironde.fr,government
ac-amiens.fr,government
ac-amiens.frdsden02,government
ac-bordeaux.frcid78492,government
ac-bordeaux.frdsden47,government
ac-caen.fr,government
ac-caen.frorientation,government
ac-clermont.fr,government
ac-dijon.fr,government
ac-grenoble.fr,government
ac-grenoble.fria73,government
ac-guadeloupe.fr,government
ac-guyane.fr,government
ac-limoges.fr,government
ac-martinique.fr,government
ac-montpellier.fr,government
ac-montpellier.fria30,government
ac-nancy-metz.fr,government
ac-nantes.fr,government
ac-nice.fr,government
ac-normandie.fr,government
ac-orleans-tous.frarcticle,government
ac-poitiers.fr,government
ac-reims.fr,government
ac-rennes.fr,government
ac-rennes.fria22,government
ac-reunion.fr,government
ac-strasbourg.fr,government
ac-toulouse.fr,government
ac-versailles.fr,government
ac-versailles.frcid108799,government
ac.versailles.fr,government
acacias.gov.co,government
acacoyagua.gob.mx,government
academiasancarlos.unam.mx,healthcare
academyadmissions.com,government
acadiahospital.org,healthcare
acadiaparishclerk.com,government
acaiaca.mg.gov.br,government
acailandia.ma.gov.br,government
acajetever.gob.mx,government
acajutiba.ba.gov.br,government
acajutla.gob.sv,government
acala.chiapas.gob.mx,government
acala.gob.mx,government
acambay.gob.mx,government
acandi-choco.gov.co,government
acapetahua.gob.mx,government
acara.pa.gov.br,government
acarau.ce.gov.br,government
acatari.ro,government
acatic.com.mx,government
acatlandejuarez.gob.mx,government
acatlanhidalgo.gob.mx,government
acayucan.gob.mx,government
accamargo.org.br,healthcare
accessduarte.com,government
accessesmeralda.com,government
accessfayetteville.org,government
accessidaho.org,government
accesskansas.org,government
accesskent.com,government
accessportsmouthva.com,government
accg.org.br,healthcare
accgov.com,government
accidentmd.org,government
accjse.fr,government
accolans.fr,government
accolay.eu,government
accomac.org,government
accons-ardeche.fr,government
accoord.fr,government
accord-ages.fr,government
account.allinahealth.org,healthcare
accous.fr,government
accrapsychiatrichospital.org,healthcare
accueil.banque-france.fr,government
acebo.es,government
acedera.es,government
acegaa.org,government
acegid.org,healthcare
acegua.rs.gov.br,government
acehospitals.in,healthcare
acehuche.es,government
aceituna.es,government
aces.edu,government
aces.nmsu.edu,government
aceuchal.es,government
acevedo-huila.gov.co,government
acevedo-miranda.gob.ve,government
acfischbach.lu,government
acgov.org,government
achacachi.gob.bo,government
acharnes.gr,government
achau.gv.at,government
achberg.de,government
acheleia.org,government
achenheim.fr,government
achenkirch.tirol.gv.at,government
acheres18.fr,government
achereslaforet.com,government
achereslaforet.net,government
acheritou.com,government
achern.de,government
acheville62.fr,government
achi-bolivar.gov.co,government
achiet-le-grand.fr,government
achim.de,government
achimotahospital.gov.gh,healthcare
achit-adm.ru,government
achna.com.cy,government
achslach.de,government
achstetten.de,government
achterwehr.de,government
achtkarspelen.nl,government
achtrup.de,government
aci-asso.fr,government
acibadem.com,healthcare
acibademcityclinic.bg,healthcare
acigne.fr,government
acija.fr,government
acinet.org,government
acipayam.bel.tr,government
acjpb-bayonne.fr,government
ackermanms.org,government
ackleyiowa.net,government
acleea.fr,government
aclink.org,government
aclou.fr,government
acmchealth.org,healthcare
acmogov.com,government
acnha.org.ng,healthcare
acolman.gob.mx,government
aconchi.gob.mx,government
acorizal.mt.gov.br,government
acosta-monagas.gob.ve,government
acrd.bc.ca,government
acrelandia.ac.gov.br,government
acreunagoias.com.br,government
acrmc.com,healthcare
acs-varos.hu,government
acsa.hu,government
acsad.hu,government
acsalag.hu,government
acsc.org.br,healthcare
acsteszer.hu,government
actagainstaids.org,government
actesweb-bobigny.siib.fr,government
actewagl.com.au,utility
acticity.com,government
activecloud.by,healthcare
actiweb.one,government
acton-ma.gov,government
actonmaine.org,government
actopanhidalgo.gob.mx,government
actugedinne.be,government
acucena.mg.gov.br,government
acueducto.com.co,utility
acueductospr.com,utility
aculco.gob.mx,government
acuna.gob.mx,government
acura-kliniken.com,healthcare
acushnet.ma.us,government
acvi.com,government
acworth.org,government
acworthnhtownclerk.com,government
acwtownship.ca,government
acy-02.fr,government
ad3shdf.fr,government
adac.asso.fr,government
adacs.hu,government
adaea-27.com,government
adag01.fr,government
adagum-adm.ru,government
adahuesca.es,government
adaircountyiowa.org,government
adaircountymissouri.com,government
adairsvillega.net,government
adak-ak.us,government
adamantina.sp.gov.br,government
adamhospital.com,healthcare
adamn.gov,government
adamov.cz,government
adamovcb.eu,government
adamovskekochanovce.sk,government
adamow.eu,government
adamow.mbnet.pl,government
